,Title,Link,Upload Date,View Count,Absolute Upload Date
0,"전국 팔도 정성가득한 길거리음식? 팔리는 양이 어마어마한! 야시장 맛집 달인 몰아보기 Top23, Top 23 Korean best night market food master",https://www.youtube.com/watch?v=szDYnZbJ44Y&pp=ygUKa29yZWEgZm9vZA%3D%3D,2년 전,조회수 1106만회,2022-07-02 00:00:00
1,"대한민국 전국의 이색적이고 인기있는 역대급 침샘자극! 입이 행복한 길거리 음식 몰아보기 / chicken, noodle, tteokbokki / korean street food",https://www.youtube.com/watch?v=BpALiQo1lwI&pp=ygUKa29yZWEgZm9vZA%3D%3D,1일 전,조회수 40만회,2024-06-30 00:00:00
2,"진심이 느껴집니다!! 대한민국 놀랍고 흥미로운 길거리음식 Top10 몰아보기, 떡볶이, 통닭, 삼겹살, 피자, 어묵, 튀김 / Korea's top 10 street food",https://www.youtube.com/watch?v=BUQV6wCn9jc&pp=ygUKa29yZWEgZm9vZA%3D%3D,4년 전,조회수 199만회,2020-07-02 00:00:00
3,"꼭두새벽부터 준비하는 시장 길거리음식? 가성비 끝판왕! 끝내주게 맛있는! 전국 달인 맛집 몰아보기 Top 6, Best Korean street food masters video",https://www.youtube.com/watch?v=WP6ff928E00&pp=ygUKa29yZWEgZm9vZA%3D%3D,4개월 전,조회수 346만회,2024-03-03 00:00:00
4,환상적인 설비와 제조과정의 한국 식품공장 대량생산 몰아보기 / Korea Food Factory,https://www.youtube.com/watch?v=-iiuZsG8HRc&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 467만회,2023-07-02 00:00:00
5,Best KOREAN FOOD Tour Ever!! 33 Meals from Seoul to Busan! [Full Documentary],https://www.youtube.com/watch?v=RbpKkvlHYTw&pp=ygUKa29yZWEgZm9vZA%3D%3D,3개월 전,조회수 1.2억회,2024-04-02 00:00:00
6,"생생한 현장! 전통 시장 놀라운 길거리 음식 Top8 몰아보기, 떡볶이, 수제어묵, 순대, 통닭, 분식/ Top8 Vivid Market Food-Korean Street Food",https://www.youtube.com/watch?v=OKQygBOhEiE&pp=ygUKa29yZWEgZm9vZA%3D%3D,3개월 전,조회수 735만회,2024-04-02 00:00:00
7,"Raw beef kimbap at Gwangjang Market in Seoul, South Korea!",https://www.youtube.com/shorts/2UtiiCWk2ZA,3개월 전,조회수 413만회,2024-04-02 00:00:00
8,ASMR MUKBANG| 직접 만든 떡볶이 양념치킨 김밥 먹방 & 레시피 FRIED CHICKEN AND Tteokbokki EATING,https://www.youtube.com/watch?v=EuySE6259wQ&pp=ygUKa29yZWEgZm9vZA%3D%3D,3년 전,조회수 3만회,2021-07-02 00:00:00
9,Day 121 of only eating food from a Korean convenience store! #korea #koreanconveniencestore #ramen,https://www.youtube.com/shorts/WqAZHJlJu9k,5개월 전,조회수 524만회,2024-02-02 00:00:00
10,[FRK with NewJeans]  Koreans’ Korea: K-Food #Koreans_Korea #K-food #VisitKoreaYear,https://www.youtube.com/watch?v=p9a2FkZf5b8&pp=ygUKa29yZWEgZm9vZA%3D%3D,4개월 전,조회수 635만회,2024-03-03 00:00:00
11,"Epic KOREAN STREET FOOD MARKET TOUR in Seoul! (GwangJang Market, South Korea)",https://www.youtube.com/watch?v=bx0u67Mj5bY&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 481만회,2023-07-02 00:00:00
12,"1시간 순삭! 평소 궁금했던 깨끗한 한국의 식품공장(과즐,찰보리빵,배쌀빵,구운떡,김치) 몰아보기 / Clean korean food factory",https://www.youtube.com/watch?v=w-Bl7pjdsU0&pp=ygUKa29yZWEgZm9vZA%3D%3D,15시간 전,조회수 395만회,2024-06-30 09:00:00
